angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.01,,"[243, 174, 116, 140]",,0.0,,0.04,,0.18,,0.51,,0.25,,0.0,
0.01,,"[243, 174, 116, 140]",,0.0,,0.04,,0.18,,0.53,,0.24,,0.0,
0.01,,"[243, 174, 116, 140]",,0.0,,0.04,,0.17,,0.53,,0.25,,0.0,
0.01,,"[244, 175, 114, 139]",,0.0,,0.04,,0.13,,0.51,,0.3,,0.0,
0.01,,"[243, 173, 114, 141]",,0.0,,0.03,,0.13,,0.6,,0.23,,0.0,
0.01,,"[243, 174, 113, 140]",,0.0,,0.03,,0.09,,0.63,,0.23,,0.0,
0.01,,"[240, 174, 116, 140]",,0.0,,0.04,,0.08,,0.55,,0.31,,0.0,
0.01,,"[244, 175, 112, 137]",,0.0,,0.03,,0.12,,0.37,,0.47,,0.0,
0.01,,"[244, 174, 113, 138]",,0.0,,0.03,,0.13,,0.39,,0.44,,0.0,
0.01,,"[243, 174, 114, 139]",,0.0,,0.03,,0.18,,0.48,,0.3,,0.0,
0.01,,"[244, 175, 113, 138]",,0.0,,0.03,,0.24,,0.42,,0.31,,0.0,
0.01,,"[242, 177, 114, 139]",,0.0,,0.03,,0.12,,0.6,,0.23,,0.0,
0.01,,"[238, 174, 121, 146]",,0.0,,0.07,,0.19,,0.34,,0.39,,0.0,
0.01,,"[237, 174, 120, 147]",,0.0,,0.07,,0.26,,0.44,,0.22,,0.0,
0.01,,"[237, 179, 117, 143]",,0.0,,0.05,,0.15,,0.62,,0.16,,0.0,
0.03,,"[242, 184, 117, 143]",,0.0,,0.07,,0.25,,0.33,,0.31,,0.01,
0.02,,"[240, 182, 119, 146]",,0.0,,0.05,,0.41,,0.35,,0.17,,0.0,
0.01,,"[237, 180, 121, 150]",,0.0,,0.04,,0.63,,0.19,,0.12,,0.0,
0.02,,"[237, 182, 121, 149]",,0.0,,0.04,,0.29,,0.48,,0.17,,0.0,
0.01,,"[236, 181, 121, 151]",,0.0,,0.02,,0.26,,0.6,,0.11,,0.0,
0.02,,"[237, 184, 120, 146]",,0.0,,0.06,,0.28,,0.38,,0.25,,0.0,
0.03,,"[238, 185, 119, 145]",,0.0,,0.06,,0.18,,0.36,,0.37,,0.0,
0.04,,"[238, 184, 120, 145]",,0.0,,0.05,,0.1,,0.44,,0.37,,0.0,
0.03,,"[240, 184, 118, 144]",,0.0,,0.04,,0.12,,0.55,,0.25,,0.0,
0.03,,"[240, 185, 117, 142]",,0.0,,0.04,,0.11,,0.61,,0.22,,0.0,
0.03,,"[239, 185, 116, 140]",,0.0,,0.04,,0.13,,0.49,,0.31,,0.0,
0.02,,"[240, 186, 114, 138]",,0.0,,0.03,,0.08,,0.58,,0.28,,0.0,
0.02,,"[238, 179, 116, 140]",,0.0,,0.04,,0.24,,0.53,,0.16,,0.0,
0.01,,"[243, 179, 110, 135]",,0.0,,0.02,,0.28,,0.42,,0.27,,0.0,
0.01,,"[241, 178, 111, 136]",,0.0,,0.02,,0.25,,0.48,,0.24,,0.0,
0.0,,"[240, 177, 113, 137]",,0.0,,0.02,,0.17,,0.39,,0.41,,0.0,
0.01,,"[239, 178, 114, 138]",,0.0,,0.04,,0.21,,0.53,,0.21,,0.0,
0.01,,"[238, 177, 115, 140]",,0.0,,0.03,,0.25,,0.62,,0.09,,0.0,
0.0,,"[235, 176, 121, 145]",,0.0,,0.01,,0.62,,0.34,,0.02,,0.01,
0.01,,"[231, 173, 120, 145]",,0.0,,0.02,,0.48,,0.46,,0.03,,0.0,
0.01,,"[230, 176, 119, 145]",,0.0,,0.04,,0.29,,0.61,,0.04,,0.01,
0.02,,"[229, 177, 119, 144]",,0.0,,0.09,,0.34,,0.38,,0.16,,0.02,
0.05,,"[233, 186, 119, 145]",,0.0,,0.06,,0.17,,0.41,,0.28,,0.02,
0.02,,"[227, 180, 124, 151]",,0.0,,0.09,,0.26,,0.42,,0.2,,0.01,
0.03,,"[225, 180, 131, 162]",,0.0,,0.09,,0.14,,0.63,,0.1,,0.01,
0.01,,"[228, 189, 125, 154]",,0.0,,0.07,,0.14,,0.66,,0.12,,0.0,
